"checking_status","duration","credit_history","savings_status","employment","personal_status","other_payment_plans","job","foreign_worker","class","ID"
"<0",24,"all paid","<100","1<=X<4","female div/dep/mar","bank","skilled","no",1,614
"no checking",18,"delayed previously","<100","4<=X<7","female div/dep/mar","none","skilled","yes",2,615
"0<=X<200",48,"no credits/all paid","no known savings","1<=X<4","male single","bank","high qualif/self emp/mgmt","yes",1,616
"no checking",60,"delayed previously","no known savings","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,617
"<0",6,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,618
"0<=X<200",30,"existing paid","100<=X<500","1<=X<4","female div/dep/mar","none","skilled","yes",2,619
"no checking",12,"existing paid","<100","1<=X<4","male div/sep","none","unskilled resident","yes",1,620
"0<=X<200",21,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,621
"no checking",18,"critical/other existing credit","<100","1<=X<4","male single","bank","skilled","yes",2,622
"no checking",48,"existing paid","no known savings","1<=X<4","male div/sep","bank","skilled","yes",2,623
"<0",12,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,624
"<0",18,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,625
"no checking",15,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,626
">=200",6,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,627
"0<=X<200",9,"all paid","100<=X<500","4<=X<7","male single","none","skilled","yes",2,628
"no checking",42,"critical/other existing credit","500<=X<1000","1<=X<4","male single","none","skilled","yes",1,629
"no checking",9,"existing paid","no known savings",">=7","male single","none","unskilled resident","yes",1,630
"<0",24,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,631
"<0",18,"all paid","<100","1<=X<4","male single","bank","skilled","yes",2,632
"0<=X<200",15,"existing paid","no known savings","<1","male single","none","skilled","yes",1,633
"no checking",9,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,634
"0<=X<200",24,"existing paid","<100","<1","female div/dep/mar","none","unskilled resident","yes",2,635
"no checking",12,"existing paid","<100",">=7","male single","bank","skilled","yes",1,636
"no checking",24,"existing paid","500<=X<1000","4<=X<7","female div/dep/mar","none","skilled","yes",1,637
"no checking",60,"delayed previously","<100","4<=X<7","male single","none","skilled","yes",1,638
"no checking",12,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,639
"<0",42,"delayed previously","<100","4<=X<7","male single","bank","skilled","yes",2,640
"<0",18,"existing paid","<100","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",2,641
"0<=X<200",15,"existing paid","<100",">=7","male single","none","unskilled resident","yes",1,642
"no checking",15,"existing paid","100<=X<500","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",2,643
"no checking",24,"critical/other existing credit","<100","4<=X<7","male mar/wid","none","skilled","yes",1,644
"<0",18,"critical/other existing credit","<100","4<=X<7","male mar/wid","none","high qualif/self emp/mgmt","yes",1,645
"no checking",36,"delayed previously","no known savings","<1","male single","none","skilled","yes",2,646
"no checking",30,"no credits/all paid","<100","1<=X<4","male div/sep","none","skilled","yes",1,647
"no checking",12,"existing paid","500<=X<1000","1<=X<4","female div/dep/mar","none","skilled","yes",2,648
">=200",24,"existing paid","<100","4<=X<7","male single","bank","skilled","yes",2,649
"<0",12,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",2,650
"<0",48,"existing paid","<100","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,651
"0<=X<200",12,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",2,652
"<0",24,"existing paid","<100",">=7","male single","none","skilled","yes",2,653
"0<=X<200",22.5,"delayed previously","100<=X<500",">=7","male single","none","high qualif/self emp/mgmt","yes",2,654
"no checking",24,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,655
"<0",14,"existing paid","<100","unemployed","male single","none","skilled","yes",1,656
"0<=X<200",12,"existing paid","<100",">=7","male single","bank","unskilled resident","yes",2,657
"no checking",48,"existing paid","no known savings","4<=X<7","male single","stores","skilled","yes",1,658
"no checking",30,"no credits/all paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,659
"0<=X<200",18,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,660
">=200",12,"existing paid","<100","1<=X<4","male mar/wid","none","skilled","yes",1,661
"<0",12,"existing paid","no known savings","1<=X<4","male mar/wid","none","skilled","yes",2,662
"no checking",21,"existing paid","<100",">=7","male single","none","skilled","yes",1,663
"0<=X<200",6,"delayed previously","<100","unemployed","male single","stores","high qualif/self emp/mgmt","yes",1,664
">=200",6,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,665
"no checking",24,"critical/other existing credit","<100","unemployed","male single","bank","high qualif/self emp/mgmt","yes",1,666
"0<=X<200",24,"all paid",">=1000","1<=X<4","male single","stores","skilled","yes",1,667
"no checking",48,"all paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,668
"<0",12,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",2,669
">=200",30,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,670
"no checking",24,"critical/other existing credit","100<=X<500","1<=X<4","male single","none","unskilled resident","yes",1,671
"no checking",36,"existing paid","100<=X<500","4<=X<7","male single","none","skilled","yes",1,672
"no checking",60,"existing paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,673
"no checking",6,"critical/other existing credit","500<=X<1000","1<=X<4","male mar/wid","none","skilled","yes",1,674
"no checking",21,"delayed previously","500<=X<1000","<1","male single","bank","unskilled resident","yes",2,675
"no checking",30,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,676
"no checking",24,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,677
"0<=X<200",24,"existing paid","100<=X<500","1<=X<4","male mar/wid","none","skilled","yes",2,678
"<0",24,"existing paid","<100",">=7","male single","bank","unskilled resident","yes",1,679
"no checking",18,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,680
"no checking",6,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,681
"no checking",12,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",1,682
"no checking",18,"delayed previously","<100","1<=X<4","male mar/wid","bank","skilled","yes",1,683
"no checking",24,"critical/other existing credit","<100","<1","male mar/wid","none","skilled","yes",1,684
"0<=X<200",36,"delayed previously","100<=X<500","4<=X<7","male single","none","unskilled resident","yes",1,685
"no checking",60,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",1,686
">=200",24,"critical/other existing credit","no known savings","4<=X<7","male single","none","skilled","yes",1,687
"0<=X<200",36,"delayed previously","100<=X<500",">=7","male single","none","skilled","yes",1,688
"no checking",9,"existing paid","100<=X<500",">=7","male single","none","skilled","yes",1,689
"<0",12,"existing paid",">=1000","1<=X<4","male single","none","skilled","yes",1,690
"<0",18,"critical/other existing credit","<100","1<=X<4","male div/sep","none","skilled","yes",1,691
"0<=X<200",15,"existing paid","100<=X<500","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,692
"0<=X<200",24,"existing paid","100<=X<500","<1","male single","none","skilled","yes",1,693
"<0",6,"critical/other existing credit","no known savings","<1","male single","none","unskilled resident","yes",1,694
"no checking",24,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,695
"no checking",6,"existing paid","500<=X<1000","1<=X<4","male single","none","skilled","yes",1,696
"0<=X<200",12,"existing paid","<100","4<=X<7","male single","none","skilled","no",1,697
"no checking",12,"critical/other existing credit","<100","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",1,698
"no checking",18,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,699
"no checking",15,"existing paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,700
"no checking",12,"existing paid","500<=X<1000","1<=X<4","female div/dep/mar","none","unskilled resident","yes",2,701
"<0",16.5,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",2,702
">=200",24,"existing paid","100<=X<500",">=7","female div/dep/mar","none","skilled","yes",1,703
"0<=X<200",30,"delayed previously","100<=X<500",">=7","male single","stores","skilled","yes",1,704
"0<=X<200",27,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,705
"no checking",15,"existing paid","500<=X<1000",">=7","female div/dep/mar","none","skilled","yes",1,706
"0<=X<200",48,"existing paid","100<=X<500","4<=X<7","male single","none","skilled","yes",2,707
"0<=X<200",18,"no credits/all paid","<100","<1","female div/dep/mar","none","skilled","yes",2,708
"0<=X<200",15,"existing paid","<100",">=7","female div/dep/mar","none","skilled","yes",1,709
"0<=X<200",9,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,710
"no checking",18,"critical/other existing credit","500<=X<1000",">=7","male single","none","high qualif/self emp/mgmt","yes",1,711
"<0",6,"all paid","<100",">=7","female div/dep/mar","none","skilled","yes",2,712
"no checking",21,"existing paid","no known savings",">=7","male single","none","high qualif/self emp/mgmt","yes",1,713
"<0",9,"critical/other existing credit","<100","1<=X<4","male single","none","unskilled resident","yes",1,714
"0<=X<200",60,"existing paid","<100","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",2,715
"no checking",30,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,716
"no checking",30,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,717
"no checking",18,"existing paid","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,718
">=200",24,"critical/other existing credit","no known savings","1<=X<4","male single","none","skilled","yes",1,719
"0<=X<200",20,"no credits/all paid","100<=X<500",">=7","male mar/wid","bank","skilled","yes",1,720
">=200",9,"no credits/all paid","<100","<1","male single","none","high qualif/self emp/mgmt","yes",2,721
"0<=X<200",6,"all paid",">=1000","<1","female div/dep/mar","bank","skilled","yes",2,722
"<0",12,"existing paid","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",2,723
"0<=X<200",9,"existing paid","500<=X<1000","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,724
"no checking",27,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,725
"no checking",6,"critical/other existing credit",">=1000","1<=X<4","female div/dep/mar","bank","unskilled resident","yes",1,726
"no checking",15,"critical/other existing credit","500<=X<1000","1<=X<4","male mar/wid","none","unskilled resident","yes",1,727
"<0",18,"existing paid","<100","1<=X<4","female div/dep/mar","bank","skilled","yes",2,728
"0<=X<200",48,"all paid","<100",">=7","female div/dep/mar","none","skilled","yes",2,729
">=200",24,"critical/other existing credit",">=1000","1<=X<4","male div/sep","none","skilled","yes",1,730
"0<=X<200",24,"delayed previously","<100","<1","male single","none","skilled","yes",1,731
"<0",24,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",2,732
"0<=X<200",8,"existing paid","<100","4<=X<7","female div/dep/mar","none","unskilled resident","yes",1,733
"no checking",24,"existing paid",">=1000","1<=X<4","female div/dep/mar","none","skilled","yes",1,734
"no checking",4,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,735
"0<=X<200",36,"all paid","no known savings","<1","female div/dep/mar","none","unemp/unskilled non res","yes",1,736
"0<=X<200",24,"existing paid","<100","1<=X<4","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,737
"<0",18,"existing paid","100<=X<500","1<=X<4","male single","none","unskilled resident","yes",1,738
"no checking",6,"critical/other existing credit","<100","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,739
"0<=X<200",30,"no credits/all paid","100<=X<500","1<=X<4","female div/dep/mar","none","unskilled resident","yes",2,740
"<0",24,"all paid","100<=X<500","4<=X<7","male single","none","skilled","yes",1,741
"0<=X<200",10,"all paid","<100","1<=X<4","male single","stores","unskilled resident","yes",1,742
"no checking",21,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,743
"<0",24,"all paid","500<=X<1000","1<=X<4","male single","stores","skilled","yes",1,744
"<0",39,"critical/other existing credit","no known savings","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,745
"<0",13,"critical/other existing credit","<100","<1","male single","bank","unskilled resident","yes",1,746
"<0",15,"existing paid","<100","unemployed","female div/dep/mar","none","skilled","yes",1,747
"<0",12,"existing paid","<100","<1","female div/dep/mar","none","unskilled resident","yes",2,748
"no checking",15,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",1,749
"no checking",15,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,750
"<0",6,"existing paid","<100",">=7","female div/dep/mar","bank","skilled","yes",1,751
"<0",18,"existing paid","<100","<1","female div/dep/mar","none","unskilled resident","yes",2,752
"0<=X<200",12,"existing paid","100<=X<500","4<=X<7","female div/dep/mar","none","unskilled resident","yes",1,753
"no checking",30,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,754
"no checking",12,"delayed previously",">=1000",">=7","male single","none","skilled","yes",2,755
"<0",24,"existing paid","no known savings","4<=X<7","female div/dep/mar","none","skilled","yes",2,756
">=200",6,"critical/other existing credit","<100","1<=X<4","male single","none","unemp/unskilled non res","no",1,757
">=200",15,"critical/other existing credit","no known savings","1<=X<4","male single","none","skilled","yes",2,758
"no checking",24,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,759
"<0",12,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",2,760
"no checking",15,"critical/other existing credit","no known savings",">=7","female div/dep/mar","none","skilled","yes",1,761
"<0",18,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,762
"<0",12,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,763
"no checking",21,"critical/other existing credit","no known savings",">=7","male single","none","high qualif/self emp/mgmt","yes",2,764
"no checking",24,"critical/other existing credit","100<=X<500","4<=X<7","male mar/wid","none","skilled","yes",1,765
"0<=X<200",12,"existing paid","<100",">=7","male mar/wid","bank","unskilled resident","yes",1,766
"<0",30,"existing paid","<100","<1","male div/sep","none","unskilled resident","yes",2,767
"no checking",13.5,"existing paid","no known savings","<1","female div/dep/mar","none","skilled","yes",1,768
"0<=X<200",12,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,769
"no checking",12,"critical/other existing credit","<100",">=7","male single","none","unskilled resident","yes",1,770
"no checking",24,"existing paid","no known savings",">=7","female div/dep/mar","none","skilled","yes",1,771
"<0",36,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,772
"no checking",21,"critical/other existing credit","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,773
"no checking",24,"critical/other existing credit","100<=X<500",">=7","male single","bank","skilled","yes",1,774
">=200",12,"critical/other existing credit","500<=X<1000","unemployed","male single","bank","unemp/unskilled non res","yes",1,775
"<0",24,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",2,776
"no checking",36,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,777
"<0",10.5,"existing paid","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,778
"no checking",36,"critical/other existing credit",">=1000",">=7","male single","none","high qualif/self emp/mgmt","yes",1,779
"0<=X<200",18,"existing paid","<100","unemployed","female div/dep/mar","none","skilled","yes",1,780
"0<=X<200",39,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",2,781
"no checking",24,"critical/other existing credit",">=1000",">=7","male single","none","skilled","yes",1,782
"0<=X<200",18,"no credits/all paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,783
"<0",12,"existing paid","100<=X<500","<1","female div/dep/mar","bank","unskilled resident","yes",2,784
"0<=X<200",20,"existing paid","no known savings","unemployed","male div/sep","none","high qualif/self emp/mgmt","yes",1,785
"0<=X<200",18,"existing paid",">=1000","1<=X<4","male single","none","unskilled resident","yes",1,786
"no checking",22,"existing paid","500<=X<1000",">=7","male single","none","skilled","yes",1,787
"no checking",48,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,788
"0<=X<200",48,"delayed previously","<100",">=7","male single","none","skilled","yes",2,789
"<0",40,"critical/other existing credit","<100","1<=X<4","male single","bank","skilled","yes",2,790
"0<=X<200",21,"existing paid","<100",">=7","female div/dep/mar","none","skilled","yes",2,791
"no checking",24,"existing paid","no known savings",">=7","male single","none","high qualif/self emp/mgmt","yes",1,792
"no checking",6,"critical/other existing credit","no known savings","1<=X<4","male mar/wid","none","skilled","yes",1,793
"<0",24,"existing paid","<100",">=7","male div/sep","none","skilled","yes",1,794
"no checking",24,"existing paid","500<=X<1000",">=7","male single","none","skilled","yes",1,795
"no checking",9,"existing paid","100<=X<500","<1","female div/dep/mar","none","skilled","yes",1,796
"<0",18,"existing paid","no known savings",">=7","male single","none","skilled","yes",2,797
"no checking",12,"critical/other existing credit","<100","<1","female div/dep/mar","none","unskilled resident","yes",1,798
"no checking",24,"delayed previously","no known savings",">=7","male mar/wid","none","skilled","yes",1,799
"0<=X<200",9,"existing paid","no known savings","<1","male single","none","unemp/unskilled non res","yes",1,800
"no checking",24,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,801
"0<=X<200",15,"critical/other existing credit","<100",">=7","female div/dep/mar","bank","unskilled resident","yes",1,802
"<0",20,"critical/other existing credit","<100",">=7","female div/dep/mar","none","skilled","yes",1,803
"no checking",12,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,804
"0<=X<200",12,"existing paid","no known savings","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",1,805
"<0",36,"existing paid","<100","4<=X<7","male single","none","skilled","yes",2,806
"0<=X<200",6,"existing paid","<100","<1","male mar/wid","none","unskilled resident","no",1,807
"no checking",18,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,808
"0<=X<200",42,"all paid","<100","unemployed","male single","bank","high qualif/self emp/mgmt","yes",1,809
"0<=X<200",15,"no credits/all paid","<100","<1","female div/dep/mar","none","unemp/unskilled non res","yes",2,810
"0<=X<200",8,"existing paid","<100","<1","male mar/wid","none","skilled","yes",1,811
"0<=X<200",6,"existing paid","<100","4<=X<7","male mar/wid","bank","unskilled resident","yes",1,812
"<0",36,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",2,813
"<0",48,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,814
"<0",24,"existing paid","<100","4<=X<7","male single","none","skilled","yes",2,815
"0<=X<200",36,"delayed previously","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,816
"no checking",6,"existing paid","500<=X<1000","1<=X<4","male div/sep","none","skilled","yes",1,817
"no checking",6,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,818
"<0",36,"existing paid","<100","unemployed","male div/sep","none","high qualif/self emp/mgmt","yes",1,819
"<0",18,"existing paid","<100","1<=X<4","male mar/wid","bank","skilled","yes",2,820
"no checking",12,"existing paid","<100","1<=X<4","male mar/wid","none","skilled","yes",1,821
">=200",12,"existing paid","<100","1<=X<4","male mar/wid","none","skilled","yes",1,822
"<0",36,"existing paid","<100",">=7","male single","bank","skilled","yes",2,823
"<0",8,"critical/other existing credit","<100",">=7","male single","none","unskilled resident","yes",1,824
"no checking",18,"critical/other existing credit","<100","<1","male div/sep","none","high qualif/self emp/mgmt","yes",1,825
"<0",21,"critical/other existing credit","<100",">=7","male mar/wid","none","skilled","yes",1,826
"<0",18,"critical/other existing credit","<100",">=7","female div/dep/mar","bank","skilled","yes",2,827
"no checking",18,"no credits/all paid","<100","1<=X<4","male single","stores","skilled","yes",2,828
"<0",36,"existing paid","no known savings",">=7","male single","none","skilled","yes",2,829
"0<=X<200",48,"delayed previously","no known savings","1<=X<4","male single","none","skilled","yes",1,830
"no checking",24,"delayed previously","500<=X<1000","1<=X<4","male single","none","skilled","yes",1,831
"<0",18,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,832
"<0",27,"no credits/all paid","<100",">=7","male single","none","skilled","yes",2,833
"0<=X<200",24,"existing paid","no known savings",">=7","female div/dep/mar","none","skilled","yes",1,834
">=200",15,"existing paid","<100","<1","female div/dep/mar","none","unskilled resident","yes",2,835
"<0",12,"no credits/all paid","<100","1<=X<4","male single","bank","skilled","yes",2,836
"no checking",12,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",1,837
"no checking",4,"existing paid","<100","<1","female div/dep/mar","none","unskilled resident","yes",1,838
"<0",24,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,839
"no checking",24,"critical/other existing credit","<100",">=7","male mar/wid","none","skilled","yes",1,840
"<0",36,"existing paid","<100","4<=X<7","male single","none","skilled","yes",2,841
"no checking",21,"delayed previously","<100","1<=X<4","male single","stores","unskilled resident","yes",1,842
"<0",13.5,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,843
"no checking",24,"all paid","<100","4<=X<7","male single","none","skilled","yes",1,844
"no checking",18,"existing paid","<100",">=7","male single","bank","skilled","yes",1,845
"0<=X<200",21,"existing paid","no known savings","4<=X<7","male single","none","skilled","yes",1,846
"no checking",18,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",2,847
"no checking",16.5,"existing paid","<100","<1","male mar/wid","none","skilled","yes",1,848
"<0",9,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,849
"<0",12,"existing paid","<100",">=7","male single","stores","unskilled resident","yes",2,850
"<0",20,"critical/other existing credit","<100","1<=X<4","male mar/wid","bank","skilled","no",2,851
"no checking",24,"critical/other existing credit","no known savings","4<=X<7","male single","none","skilled","yes",1,852
"no checking",15,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,853
"<0",18,"all paid","<100","4<=X<7","male single","none","unskilled resident","yes",2,854
"no checking",36,"delayed previously","<100",">=7","male single","none","skilled","yes",1,855
"no checking",24,"existing paid","100<=X<500","<1","male mar/wid","none","skilled","yes",1,856
"no checking",10,"existing paid","no known savings","4<=X<7","female div/dep/mar","none","skilled","yes",1,857
"no checking",15,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,858
"<0",15,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,859
"no checking",9,"existing paid","100<=X<500","1<=X<4","male single","none","skilled","no",1,860
"no checking",24,"critical/other existing credit",">=1000","1<=X<4","male single","none","skilled","yes",1,861
"no checking",18,"delayed previously","<100","1<=X<4","male mar/wid","none","skilled","yes",2,862
"<0",24,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,863
"no checking",27,"critical/other existing credit",">=1000","<1","male single","stores","unskilled resident","yes",1,864
"<0",10,"existing paid","<100","1<=X<4","male single","bank","unskilled resident","yes",2,865
"no checking",15,"existing paid","500<=X<1000","1<=X<4","female div/dep/mar","none","skilled","yes",1,866
"<0",18,"existing paid","<100","<1","female div/dep/mar","stores","skilled","yes",1,867
"no checking",12,"critical/other existing credit","<100",">=7","male single","stores","skilled","yes",1,868
"no checking",36,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,869
"<0",12,"existing paid","<100",">=7","female div/dep/mar","none","skilled","yes",1,870
"no checking",36,"delayed previously","500<=X<1000","4<=X<7","female div/dep/mar","none","skilled","yes",1,871
">=200",6,"critical/other existing credit","<100",">=7","male single","none","skilled","no",1,872
"<0",24,"critical/other existing credit","100<=X<500","4<=X<7","male single","none","skilled","yes",1,873
"no checking",15,"existing paid","no known savings","<1","female div/dep/mar","none","skilled","yes",1,874
"<0",12,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,875
"0<=X<200",11,"critical/other existing credit",">=1000","1<=X<4","female div/dep/mar","none","skilled","yes",1,876
"<0",18,"all paid","<100","<1","male single","bank","high qualif/self emp/mgmt","yes",1,877
"no checking",36,"existing paid","<100",">=7","male single","none","skilled","yes",1,878
"<0",21,"existing paid","<100","<1","male single","none","high qualif/self emp/mgmt","yes",2,879
"no checking",30,"critical/other existing credit","no known savings","4<=X<7","male single","none","skilled","yes",1,880
"no checking",24,"existing paid","<100","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,881
"no checking",24,"existing paid","no known savings","1<=X<4","male div/sep","none","skilled","yes",1,882
"0<=X<200",30,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,883
"no checking",18,"critical/other existing credit","<100","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",1,884
"0<=X<200",24,"existing paid","<100","4<=X<7","male div/sep","none","skilled","yes",2,885
"<0",12,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,886
"0<=X<200",24,"critical/other existing credit","no known savings","4<=X<7","male single","none","skilled","yes",1,887
"0<=X<200",48,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,888
"no checking",36,"critical/other existing credit","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,889
"no checking",24,"all paid","no known savings","<1","male single","bank","skilled","yes",1,890
"<0",27,"critical/other existing credit","<100",">=7","male single","stores","high qualif/self emp/mgmt","yes",1,891
"no checking",15,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,892
"<0",12,"critical/other existing credit","<100","1<=X<4","male single","none","unskilled resident","no",1,893
"0<=X<200",24,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,894
"no checking",18,"critical/other existing credit","no known savings","1<=X<4","male single","none","skilled","yes",1,895
"no checking",36,"delayed previously","no known savings","4<=X<7","male single","stores","high qualif/self emp/mgmt","yes",1,896
"<0",21,"existing paid","<100","<1","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,897
"no checking",12,"critical/other existing credit",">=1000","4<=X<7","female div/dep/mar","none","skilled","no",1,898
"no checking",15,"existing paid","no known savings","4<=X<7","female div/dep/mar","bank","unskilled resident","yes",1,899
"<0",18,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,900
"<0",21,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",2,901
"no checking",20,"critical/other existing credit","no known savings","<1","male div/sep","none","skilled","yes",1,902
"no checking",36,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,903
"no checking",15,"existing paid","no known savings","1<=X<4","male mar/wid","none","skilled","yes",1,904
"no checking",24,"existing paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,905
"<0",12,"existing paid","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,906
"<0",21,"existing paid","no known savings","4<=X<7","male single","none","unskilled resident","no",1,907
"0<=X<200",36,"existing paid","no known savings","1<=X<4","male mar/wid","none","skilled","yes",1,908
"no checking",15,"delayed previously","<100","<1","female div/dep/mar","none","unskilled resident","yes",1,909
"0<=X<200",9,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,910
"no checking",36,"delayed previously","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,911
"0<=X<200",24,"critical/other existing credit","<100","<1","female div/dep/mar","bank","unskilled resident","yes",2,912
"0<=X<200",30,"existing paid","no known savings",">=7","female div/dep/mar","none","skilled","yes",1,913
"no checking",11,"existing paid",">=1000",">=7","male div/sep","none","skilled","yes",1,914
"<0",24,"all paid","<100","1<=X<4","male single","none","skilled","yes",2,915
"0<=X<200",48,"no credits/all paid","<100","1<=X<4","female div/dep/mar","bank","high qualif/self emp/mgmt","no",2,916
"<0",10,"existing paid","100<=X<500","1<=X<4","male single","none","skilled","yes",1,917
"<0",6,"existing paid","<100",">=7","male single","bank","high qualif/self emp/mgmt","yes",2,918
"<0",24,"existing paid","100<=X<500","unemployed","male div/sep","none","skilled","yes",2,919
"<0",24,"existing paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",2,920
"no checking",18,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,921
"no checking",48,"delayed previously","500<=X<1000","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,922
"<0",9,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,923
